trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
271,False,"{'a': 0.01, 'e': 0.06653680671501686}",20,0,4.002217880458008,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
272,False,"{'a': 0.01, 'e': 0.06587475442640295}",20,13,12.090460220061068,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.01, 'e': 0.06521928966812753}",20,1,9.841644231240801,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.01, 'e': 0.06457034689316847}",35,17,23.813546519579994,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.01, 'e': 0.06392786120670757}",25,20,10.042232358947523,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.01, 'e': 0.0632917683596407}",20,0,-12.56479810054278,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
277,False,"{'a': 0.01, 'e': 0.06266200474215315}",20,0,-16.541257055134743,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
278,False,"{'a': 0.01, 'e': 0.06203850737735829}",30,16,27.835582022826166,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.01, 'e': 0.06142121391500013}",20,0,29.371338071801375,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
280,False,"{'a': 0.01, 'e': 0.060810062625217945}",25,9,27.679958162255595,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.01, 'e': 0.06020499239237355}",20,10,-24.507615097493844,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
282,False,"{'a': 0.01, 'e': 0.05960594270893936}",20,0,21.613231421540007,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
283,False,"{'a': 0.01, 'e': 0.059012853669447835}",20,6,23.841106469263863,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
